PadID,Diversion,padDA,flume
ARM01C,NA,17.47310257,NC
ARM01T,NA,267.6873969,NC
ARM02C,NA,8,NC
ARM02Cv,Yes,0,NC
ARM02T,NA,238.5085339,NC
ARM02Tv,Yes,0,NC
ARM03C,NA,5.473102569,NC
ARM03Cv,Yes,0,NC
ARM03T,NA,200.6161132,NC
ARM04C,NA,55.31222057,C
ARM04T,NA,33.47301352,C
ARM04Tv,Yes,0,C
ARM05C,NA,9.473102568,C
ARM05Cv,Yes,0,C
ARM05T,NA,2.736506284,C
ARM05Tv,Yes,0,C
ARM06C,NA,16.93058395,C
ARM06Cv,Yes,0,C
ARM06T,NA,11.13566144,C
ARM06Tv,Yes,0,C
ARM07C,NA,2965.565725,C
ARM07T,NA,65.1069266,C
ARM07Tv,Yes,0,C
ARM08C,NA,29.542717,C
ARM08Cv,Yes,0,C
ARM08T,NA,39.07772771,NC
ARM09C,NA,122.5393506,C
ARM09Cv,Yes,0,C
ARM09T,NA,19.9161749,NC
ARM09Tv,Yes,0,NC
ARM10C,NA,11.99999999,C
ARM10T,NA,13.70575404,NC
ARM11C,NA,132.0917636,C
ARM11T,NA,502.2943046,NC
ARM12C,NA,33.47310257,C
ARM12Cv,Yes,0,C
ARM12T,NA,180.4770337,NC
ARM12Tv,Yes,0,NC
ARM13C,NA,62.73655128,C
ARM13Cv,Yes,0,C
ARM13T,NA,16.25361424,NC
ARM14C,NA,34.25967789,C
ARM14T,NA,133.5506929,C
ARM14Tv,Yes,0,C
ARM15C,NA,9.473102567,C
ARM15Cv,Yes,0,C
ARM15T,NA,72.15204773,C
ARM15Tv,Yes,0,C
ARM16C,NA,25.75288631,C
ARM16T,NA,92.98609187,C
ARM16Tv,Yes,0,C
ARM17C,NA,2.736551284,C
ARM17Cv,Yes,0,C
ARM17T,NA,145.4806875,C
ARM17Tv,Yes,0,C
ARM18C,NA,154.1211848,C
ARM18Cv,Yes,0,C
ARM18T,NA,28.98020559,NC
ARM18Tv,Yes,0,NC
ARM19C,NA,29.47310257,NC
ARM19Cv,Yes,0,NC
ARM19T,NA,25.75259292,NC
ARM20C,NA,3241.785011,NC
ARM20T,NA,23.51922093,NC
ARM21C,NA,107.5975251,C
ARM21T,NA,13.4730072,NC
ARM21Tv,Yes,0,NC
ARM22C,NA,20.00000001,C
ARM22Cv,Yes,0,C
ARM22T,NA,25.4730072,C
ARM23C,NA,106.3644867,C
ARM23Cv,Yes,0,C
ARM23T,NA,2.736503597,C
ARM24C,NA,22.8502369,C
ARM24T,NA,61.47300721,C
ARM24Tv,Yes,0,C
ARM25C,NA,25.75288629,C
ARM25Cv,Yes,0,C
ARM25T,NA,2.736503602,C
ARM25Tv,Yes,0,C
ARM26C,NA,2768.721165,C
ARM26T,NA,2.736503602,C
ARM26Tv,Yes,0,C
ARM27C,NA,23.51925325,C
ARM27Cv,Yes,0,C
ARM27T,NA,5.415551539,C
ARM27Tv,Yes,0,C
ARM28C,NA,64.35268072,C
ARM28Cv,Yes,0,C
ARM28T,NA,243.5571778,NC
ARM29C,NA,237.7918496,C
ARM29Cv,Yes,0,C
ARM29T,NA,59.62859963,NC
ARM29Tv,Yes,0,NC
ARM30C,NA,1582.040177,C
ARM30T,NA,617.6996664,NC
EIA01C,NA,8.263793949,NC
EIA01T,NA,28.5406494,NC
EIA02C,NA,5.468750002,NC
EIA02T,NA,86.58410643,NC
EIA03C,NA,2.734375002,C
EIA03T,NA,67.72485351,C
EIA04C,NA,33.875,C
EIA04T,NA,124.0141602,C
EIA05C,NA,41.46875,C
EIA05T,NA,2.734375001,C
EIA06C,NA,13.46875,C
EIA06T,NA,13.46875,C
EIA07C,NA,81.33593743,C
EIA07T,NA,5.468749999,C
EIA08C,NA,2.734375,C
EIA08T,NA,2.734375002,NC
EIA09C,NA,18.93676759,NC
EIA09T,NA,20.21484375,NC
EIA10C,NA,2.734375001,NC
EIA10T,NA,346.7041016,NC
EIA11C,NA,2.734374993,NC
EIA11T,NA,21.46875,NC
EIA12C,NA,2.734375001,C
EIA12T,NA,2.734375,NC
EIA13C,NA,17.46875,C
EIA13T,NA,10.7824707,C
EIA14C,NA,5.387573242,C
EIA14T,NA,37.35375978,C
EIA15C,NA,95.70214845,C
EIA15T,NA,212.6843261,C
EIA16C,NA,476.4848631,NC
EIA16T,NA,632.6959229,C
EIA17C,NA,130.0709228,NC
EIA17T,NA,20.24047852,C
EIA18C,NA,171.8603516,NC
EIA18T,NA,10.7824707,NC
EIA19C,NA,13.46875,NC
EIA19T,NA,2.734375001,NC
EIA20C,NA,107.8067627,NC
EIA20T,NA,822.3137207,NC
EIA21C,NA,2.734374998,NC
EIA21T,NA,15855.72534,NC
EIA22C,NA,2.734375,NC
EIA22T,NA,25.46875,NC
EIA23C,NA,10.7824707,NC
EIA23T,NA,31.03820799,NC
EIA24C,NA,5.387573246,NC
EIA24T,NA,55.17187501,C
EIA25C,NA,9.468750006,NC
EIA25T,NA,581.2186279,C
EIA26C,NA,6.020507809,C
EIA26T,NA,5.387573244,C
EIA27C,NA,49.81677244,C
EIA27T,NA,61.46875,C
EIA28C,NA,29.46875,C
EIA28T,NA,185.6289063,C
EIA29C,NA,17.46875,C
EIA29T,NA,5.468749999,NC
EIA30C,NA,25.46875,NC
EIA30T,NA,2.734375002,NC
GUT01C,NA,968.8881226,NC
GUT01T,NA,5.454711912,NC
GUT02C,NA,2.734375,NC
GUT02T,NA,111.7540894,NC
GUT03C,NA,2.734375,NC
GUT03T,NA,17.46875,NC
GUT04C,NA,40.71020508,NC
GUT04T,NA,404.9571533,NC
GUT05C,NA,30.31835936,NC
GUT05T,NA,74.734375,NC
GUT06C,NA,153.1747436,NC
GUT06T,NA,19.85003661,NC
GUT07C,NA,25.46875,NC
GUT07T,NA,101.8450928,NC
GUT08C,NA,2.734375001,NC
GUT08T,NA,29.55194094,NC
GUT09C,NA,56.40527349,NC
GUT09T,NA,28.79479982,NC
GUT10C,NA,32.12194824,NC
GUT10T,NA,21.57739256,NC
GUT11C,NA,17.46875,NC
GUT11T,NA,47.40692131,NC
GUT12C,NA,61.46875001,NC
GUT12T,NA,81.90448003,NC
GUT13C,NA,41.77502442,NC
GUT13T,NA,121.46875,NC
GUT14C,NA,5.468750002,NC
GUT14T,NA,269.350708,NC
GUT15C,NA,2.734375001,NC
GUT15T,NA,19.85003662,NC
GUT16C,NA,72.67224121,NC
GUT16T,NA,40.71868896,NC
GUT17C,NA,2.734375001,NC
GUT17T,NA,13.46874999,NC
GUT18C,NA,2.734375002,NC
GUT18T,NA,21.46875,NC
GUT19C,NA,93.71752928,NC
GUT19T,NA,55.19366457,NC
GUT20C,NA,89.46875,NC
GUT20T,NA,5.468750001,NC
GUT21C,NA,22.90649414,NC
GUT21T,NA,112.28125,NC
GUT22C,NA,58.24591066,NC
GUT22T,NA,2.734374993,NC
GUT23C,NA,13.51684571,NC
GUT23T,NA,66.43737787,NC
GUT24C,NA,178.9827881,NC
GUT24T,NA,13.46875,NC
GUT25C,NA,25.46875,NC
GUT25T,NA,37.46875,NC
GUT26C,NA,21.57739257,NC
GUT26T,NA,31.71874997,NC
GUT27C,NA,41.46875,NC
GUT27T,NA,212.5631104,NC
GUT28C,NA,9.468749998,NC
GUT28T,NA,32.60058591,NC
GUT29C,NA,470.6046142,NC
GUT29T,NA,10.78247071,NC
GUT30C,NA,98.26800538,NC
GUT30T,NA,2.734374998,NC
MCN01C,NA,5.405517582,NC
MCN01T,NA,34.66259767,NC
MCN02C,NA,355.130127,NC
MCN02T,NA,20.13989258,NC
MCN03C,NA,2.734375001,NC
MCN03T,NA,37.46875,NC
MCN04C,NA,18.90856931,C
MCN04T,NA,14.0769043,NC
MCN05C,NA,5.468750001,NC
MCN05T,NA,62.93469238,C
MCN06C,NA,2.734375002,NC
MCN06T,NA,37.46875,C
MCN07C,NA,10.78857422,NC
MCN07T,NA,5.454711915,NC
MCN08C,NA,2.734375002,NC
MCN08T,NA,25.95300289,NC
MCN09C,NA,33.46875,NC
MCN09T,NA,5.468749998,NC
MCN10C,NA,41.23278808,NC
MCN10T,NA,5.454711912,NC
MCN11C,NA,2.734374993,NC
MCN11T,NA,9.468750006,NC
MCN12C,NA,2.734374998,NC
MCN12T,NA,5.468750002,NC
MCN13C,NA,49.18750001,NC
MCN13T,NA,10.78857423,NC
MCN14C,NA,9.468749997,NC
MCN14T,NA,2.734375001,NC
MCN15C,NA,5292.398193,NC
MCN15T,NA,25.84374998,C
MCN16C,NA,12.80346681,NC
MCN16T,NA,136.99646,C
MCN17C,NA,2.734375,C
MCN17T,NA,2.734375,NC
MCN18C,NA,34.36657714,NC
MCN18T,NA,192.6295165,NC
MCN19C,NA,59.48120118,NC
MCN19T,NA,8.0258789,NC
MCN20C,NA,345.553833,NC
MCN20T,NA,20.24328613,NC
MCN21C,NA,29.81249999,NC
MCN21T,NA,142.6289063,NC
MCN22C,NA,38.68054197,NC
MCN22T,NA,5.468749999,NC
MCN23C,NA,45.46875,NC
MCN23T,NA,2.734374997,NC
MCN24C,NA,2.734375002,NC
MCN24T,NA,17.46875,C
MCN25C,NA,17.46875,NC
MCN25T,NA,13.46875,NC
MCN26C,NA,44.94995116,NC
MCN26T,NA,77.29687499,NC
MCN27C,NA,53.80395508,NC
MCN27T,NA,815.4855957,NC
MCN28C,NA,18.90856935,NC
MCN28T,NA,2.734375001,NC
MCN29C,NA,5.468750001,NC
MCN29T,NA,5.405517584,NC
MCN30C,NA,35.46289063,NC
MCN30T,NA,9.468749999,NC
NYK01C,NA,17.47143554,NC
NYK01T,NA,2.735717773,NC
NYK02C,NA,71.83377076,NC
NYK02T,NA,76.19714356,NC
NYK03C,NA,291.1691588,NC
NYK03T,NA,1413.832642,NC
NYK04C,NA,9.471435546,NC
NYK04T,NA,28.78735355,NC
NYK05C,NA,2.735717773,NC
NYK05T,NA,101.1589356,NC
NYK06C,NA,158.0159912,NC
NYK06T,NA,15.18844606,NC
NYK07C,NA,25.63845824,NC
NYK07T,NA,64.54547119,NC
NYK08C,NA,6.73571777,NC
NYK08T,NA,37.47143555,NC
NYK09C,NA,55.34136965,NC
NYK09T,NA,54.73571777,NC
NYK10C,NA,21.47143555,NC
NYK10T,NA,22.73571777,NC
NYK11C,NA,14.0769043,NC
NYK11T,NA,52.25601192,NC
NYK12C,NA,172.2912598,NC
NYK12T,NA,49.125,NC
NYK13C,NA,25.47143555,NC
NYK13T,NA,165.242279,NC
NYK14C,NA,41.47143555,NC
NYK14T,NA,5.461425784,NC
NYK15C,NA,21.65655516,NC
NYK15T,NA,8.265045164,NC
NYK16C,NA,142.263031,NC
NYK16T,NA,43.33267212,NC
NYK17C,NA,30.73571778,NC
NYK17T,NA,122.7357178,NC
NYK18C,NA,17.47143555,NC
NYK18T,NA,108.4078369,NC
NYK19C,NA,9.47143555,NC
NYK19T,NA,8609.266052,NC
NYK20C,NA,42.81091309,NC
NYK20T,NA,18.73571777,NC
NYK21C,NA,45.47143555,NC
NYK21T,NA,373.2193907,NC
NYK22C,NA,9.471435555,NC
NYK22T,NA,85.24853515,NC
NYK23C,NA,44.18887329,NC
NYK23T,NA,11.14352418,NC
NYK24C,NA,85.65756219,NC
NYK24T,NA,33.47143554,NC
NYK25C,NA,33.90194703,NC
NYK25T,NA,29.54357912,NC
NYK26C,NA,89.47143554,NC
NYK26T,NA,25.75131226,NC
NYK27C,NA,53.47143555,NC
NYK27T,NA,41.47143554,NC
NYK28C,NA,53.53527831,NC
NYK28T,NA,29.11328127,NC
NYK29C,NA,19.92254637,NC
NYK29T,NA,61.46209721,NC
NYK30C,NA,35.95468137,NC
NYK30T,NA,136.8607178,NC
RDM01C,NA,5.470092771,NC
RDM01T,NA,33.47009278,NC
RDM02C,NA,11.167099,NC
RDM02T,NA,8.246658321,NC
RDM03C,NA,2.73504639,NC
RDM03T,NA,2.735046384,NC
RDM04C,NA,2.735046383,NC
RDM04T,NA,12.20091248,NC
RDM05C,NA,5.450622555,NC
RDM05T,NA,8.000000004,NC
RDM06C,NA,12.20155335,NC
RDM06T,NA,5.124999999,NC
RDM07C,NA,79.92700195,NC
RDM07T,NA,9.297546383,NC
RDM08C,NA,13.47009278,NC
RDM08T,NA,2.735046388,NC
RDM09C,NA,2.735046385,NC
RDM09T,NA,9.470092773,NC
RDM10C,NA,1813.789169,NC
RDM10T,NA,59.00759889,NC
RDM11C,NA,212.5233307,NC
RDM11T,NA,2.73504639,NC
RDM12C,NA,87.12722778,NC
RDM12T,NA,5.470092775,NC
RDM13C,NA,152.8775634,NC
RDM13T,NA,5.450622555,NC
RDM14C,NA,14.76515198,NC
RDM14T,NA,61.78927612,NC
RDM15C,NA,675.633728,NC
RDM15T,NA,35.88867187,NC
RDM16C,NA,8.123687737,NC
RDM16T,NA,5429.808319,NC
RDM17C,NA,9.470092772,NC
RDM17T,NA,7.999999991,NC
RDM18C,NA,16.12368775,NC
RDM18T,NA,15055.83925,NC
RDM19C,NA,13.47009277,NC
RDM19T,NA,4547.119705,NC
RDM20C,NA,2.735046386,NC
RDM20T,NA,16.20689392,NC
RDM21C,NA,55.32757569,NC
RDM21T,NA,2.735046388,NC
RDM22C,NA,9.470092771,NC
RDM22T,NA,60.38203431,NC
RDM23C,NA,1234.737503,NC
RDM23T,NA,469.4242401,NC
RDM24C,NA,2.735046383,NC
RDM24T,NA,1660.120575,NC
RDM25C,NA,51.66073611,NC
RDM25T,NA,5.470092772,NC
RDM26C,NA,202.0084838,NC
RDM26T,NA,1608.050186,NC
RDM27C,NA,2.735046388,NC
RDM27T,NA,24.1973877,NC
RDM28C,NA,81.14918517,NC
RDM28T,NA,41.47009278,NC
RDM29C,NA,12.78355408,NC
RDM29T,NA,10.79254152,NC
RDM30C,NA,35097.72049,NC
RDM30T,NA,200.6710663,NC
RHO01C,NA,60.31176759,NC
RHO01T,NA,5.387573244,NC
RHO02C,NA,31.82043457,NC
RHO02Cv,Yes,0,NC
RHO02T,NA,2.734374998,NC
RHO02Tv,Yes,0,NC
RHO03C,NA,2.734375002,NC
RHO03Cv,Yes,0,NC
RHO03T,NA,9.468750006,NC
RHO04C,NA,348.0974732,NC
RHO04Cv,Yes,0,NC
RHO04T,NA,5.468749999,NC
RHO04Tv,Yes,0,NC
RHO05C,NA,82.37939453,C
RHO05Cv,Yes,0,C
RHO05T,NA,4.000000006,NC
RHO05Tv,Yes,0,NC
RHO06C,NA,1829.911255,C
RHO06T,NA,2.734375001,NC
RHO06Tv,Yes,0,NC
RHO07C,NA,5.468750001,C
RHO07Cv,Yes,0,C
RHO07T,NA,13.46875,C
RHO08C,NA,47.99999996,NC
RHO08T,NA,25.77221679,C
RHO08Tv,Yes,0,C
RHO09C,NA,477.9718629,NC
RHO09T,NA,47.34069824,C
RHO09Tv,Yes,0,C
RHO10C,NA,28.15301513,NC
RHO10Cv,Yes,0,NC
RHO10T,NA,5.46875,NC
RHO11C,NA,42.80749511,NC
RHO11T,NA,5.46875,NC
RHO12C,NA,5.387573245,NC
RHO12Cv,Yes,0,NC
RHO12T,NA,35.81231689,C
RHO12Tv,Yes,0,C
